name,freereturns,itemssold,status,price,shipping
2021 McDONALD'S Disney's 50th Anniversary Disney World HAPPY MEAL TOYS Or Set,False,232,Brand New,299,299
Littlest Pet Shop Lot 15 Pc Random House Mini Playset Dog or Cat and Accessories,True,,Pre-Owned,1595,395
Remote Control Rat Mouse Wireless Mice Toy For Cat Dog Pet Toy Novelty Gift,True,302,Brand New,795,
52''Cat Tree Kitten Tree Tower Condo Furniture Scratch Post Kitty Pet House Play,True,565,Brand New,5299,0
CAT6 Patch Network Cable Rj45 Ethernet 6ft 10ft 25ft 50ft 100ft 200ft lot Blue,True,,Brand New,529,0
2 Leg Pet Dog Clothes Hoodie Winter Warm Sweatshirt Cat Puppy Coat Jacket S-XXL,True,59,Brand New,695,
63.8-in Cat Tree & Condo Stable Cat Tower Cat Condo Pet Play House - Light Gray,True,,Brand New,6399,0
USB RECHARGEABLE SUPER LASER POINTER  PEN 3 in 1 Cat Pet Toy Red UV Flashlight,False,,Brand New,695,
PUMA Men's Cool Cat Formstrip Sandals,True,0,Brand New,1199,0
"51"" Cat Tree Bed Furniture Scratching Tower Post Condo Kitten Pet Play House",False,827,Brand New,5139,0
Warriors: Cats of the Clans (Warriors Field Guide) - Hardcover - GOOD,True,,Pre-Owned,405,0
2021 McDONALD'S Disney's 50th Anniversary Disney World HAPPY MEAL TOYS SEALED!,False,217,Brand New,399,299
Cool Cat Unisex Slides,True,0,Brand New,1199,0
Adopt Me Halloween Ghost Dragon golden Mummy cats Skeleton Dog Evil Dachshund ,False,,Pre-Owned,100,0
lps Cats and lps Dogs Grab Pack(5pcs Random) with 7pcs Random lps Accessories,True,0,Pre-Owned,2598,798
Pet Cat Crazy Ball Disk Interactive Toys Amusement Plate Trilaminar Funny Toy,True,533,Brand New,995,
"Activity Center Large Playing House Condo For Rest  53"" STURDY Cat Tree Tower ",True,167,Brand New,5659,0
"The Cat in the Hat - Hardcover By Seuss, Dr. - GOOD",True,,Pre-Owned,359,0
