name,freereturns,itemssold,status,price,shipping
Vintage Nail Hammer TRUE TEMPER A20R ROCKET Octagon Straight Claw framing tool,False,,Pre-Owned,199,1299
32 OZ  BRASS HEAD HAMMER TOOL 2 LB FIBERGLASS HANDLE RUBBER GRIP,True,223,Brand New,3795,
Vintage Upholstery Tack Hammer & Nail Puller,False,,Pre-Owned,1500,1465
New ListingLot of Assorted Ball Peen Heads Blacksmith Hammer Heads,False,,Pre-Owned,599,1100
Vaughan USA! 16 oz fiberglass Straight Claw Hammer S16FR new old stock L-3882,True,,Brand New,2895,875
"4 OZ. SMALL BRASS HAMMER KNURLED 5/8"" ALUMINUM HANDLE * EXCELLENT GRIP USA MADE",False,,Brand New,2179,0
"True Temper 2036200 Hammer Handle,Sledge,36 In. L",True,76,Brand New,1324,500
DeWALT DWHT51452 22-Ounce 1-Piece Balanced Steel Smooth Hammer,True,160,Brand New,2499,895
Dead Blow Hammer Multi-Purpose Dual-Face Hammer Brass / ABS Head Hammer 10oz,True,1112,Brand New,1374,
2lb Forged Steel Solid Brass Sledge Hammer Non Sparking Fiberglass Soft Handle,True,,Brand New,3995,0
Essex Brass Hammer Tool ,False,128,Brand New,1564,
New Listing2 USA Old Tool Belknap Bluegrass Shapleigh Claw Hammer 1lb 3oz 1lb 11oz ,False,,Pre-Owned,999,1000
Estwing E3-WC 14oz Welding Chipping Hammer with Shock Reduction Grip,True,60,Brand New,3069,0
New ListingStiletto Titanium Hammer 14oz Milled Face 16” Curved Hickory Handle,False,,Brand New,6000,1495
MATCO TOOLS Metalworking Hammer,False,,Pre-Owned,2500,1295
New ListingVintage No. 2 Rubber Mallet Hammer with Wood Handle,False,,Pre-Owned,785,2295
New ListingVintage Plumb Claw Hammer 13OZ Wooden Handle Lot Of 2,False,,Pre-Owned,1495,1795
Milwaukee 48-22-9022 22 oz. Milled Face Framing Hammer,False,,Brand New,3105,0
"FISKARS #750250 28oz FRAMING HAMMER, ISOCORE 4x LESS SHOCK",False,42,Brand New,2990,0
7pc Fiberglass Auto Body Repair Tools Fender Tool Kit Hammer Dolly Dent Bender,True,2145,Brand New,2913,0
ABN Dead Blow Hammer 2 lb Pound Mallet with Non-Marring Rubber Coating,True,,Brand New,1399,0
"New Listingvintage Heller 1 pound rounding hammer head with horse logo, blacksmith ",False,,Pre-Owned,2498,900
"vintage Estwing E3-12S Claw Rip Hammer 12 oz, Steel",False,,Pre-Owned,1500,900
Dewalt 2 lb. Fiberglass Drilling Hammer Forged Steel Head Overstrike Protection,True,0,Brand New,2294,0
Vintage ATHA Horseshoe Hammer  Concave End Farrier Blacksmith Gunsmith-1 1/2 ,False,,Pre-Owned,999,1270
16 oz. claw hammer with wood handle,True,94,Brand New,899,0
Milwaukee Framing Hammer Milled Face Magnetic Nail Set Straight Claw Tool 22 oz,False,0,Brand New,3182,0
Estwing Fiberglass Forward Weight 21 Ounce Claw Hammer,False,,Pre-Owned,5200,1600
Dewalt 22 oz. Demolition Hammer ,False,68,Brand New,2829,1595
Stanley STHT51304 20 oz Rip Claw Fiberglass Hammer,False,,Brand New,1928,0
"Estwing Hard Face Sledge Hammer, Fiberglass Handle ESH-F",True,31,Brand New,5499,0
Vintage Carpenters Hammer Head 14oz.,False,,Pre-Owned,99,890
Vintage Disston hammer,False,,Pre-Owned,3999,611
VINTAGE VLCHEK 4OZ BALL PEEN HAMMER,False,,Pre-Owned,1599,611
COBBLER'S HAMMER CLOSED CLAW FROM GERMANY,False,,Pre-Owned,1299,1244
2-Way 25mm Mini Small Rubber And Nylon Head Face Mallet Hammer Handle Shaft,False,,Brand New,669,0
New ListingVaughan No.9 10oz Straight Claw Hammer,False,,Pre-Owned,1750,850
"New ListingSNAP-ON TOOLS 16oz Plastic Tipped Hammer,  HBPT16",False,,Pre-Owned,999,750
"VINTAGE HART THE FRAMER 21 OZ FORGED USA Hammer,Milled Face 16'' HART Handle ",False,,Pre-Owned,3100,1280
3 lb. Fiberglass Drilling Hammer,False,0,Brand New,1976,0
Rare Shapleigh's 6 oz Ball Peen Hammer,False,,Pre-Owned,1599,611
"CRAFTSMAN Hammer, Flex Claw, 18 oz. (950845)",True,78,Brand New,3395,0
Milwaukee 48-22-9310 3 lbs Drilling Hammer w/ Milled/Smooth Face,True,0,Brand New,1897,895
3 VINTAGE JEWELLERS   HAMMER,False,,Pre-Owned,746,3686
16 oz True Temper Jet Rocket B16 Curved Claw Hammer w/Rubber Grip Steel Handle ,False,,Pre-Owned,1470,900
 8 oz. Small Stubby Claw Hammer Fiberglass Handle,True,,Brand New,985,0
Milwaukee Fiberglass Drilling Hammer Milled Smooth Face Forged Steel Head 3 lbs,True,,Brand New,2199,0
"New Hickory 10” Replacement Ball Pein, Ball Peen Hammer Handle With Wedges",False,0,Brand New,995,0
12 OZ STUBBY CLAW HAMMER w/ MAGNETIC NAIL HOLDER Ounce Small Head Fiberglass ,True,732,Brand New,1095,0
GEARWRENCH Brass Hammer 2.5lbs Ball-Peen Non-Sparking Fiberglass Handle,False,,Brand New,7499,1795
Milwaukee Framing Hammer Milled Face Wood Hickory Handle Anti Ring Claw 19 oz,True,0,Brand New,1699,0
"8 oz RUBBER  MALLET w/ WOOD HANDLE Hammer Grip 11"" Inch Length",True,356,Brand New,795,0
Estwing Hammer - 12 oz Straight Rip Claw with Smooth Face & Genuine Leather Grip,False,,Brand New,4300,0
New ListingVintage PLUMB 48oz 3 Lb Cross Peen Sledge Hammer Head STAMPED PLUMB 48 oz.,True,,Pre-Owned,1499,889
DeWALT DWHT51453 28-Ounce 1-Piece Balanced Steel Framing Hammer,True,291,Brand New,2499,895
6 oz Mini Ball Peen Hammer,True,,Brand New,1144,0
"Vaughan Fs999ml Rip Hammer,Fiberglass,20 Oz",True,,Brand New,2132,500
,False,,,,
Emergency Escape Tool Auto Car Window Glass Hammer Breaker and Seat Belt Cutter,False,846,Brand New,999,
Stanley 51-167 22-Ounce FatMax Xtreme AntiVibe Rip Claw Framing Hammer,True,372,Brand New,2499,0
"New ListingCraftsman 4 oz  Ball Peen Hammer 38461 Wood Handle 12-3/4"" Long slightly used",False,,Pre-Owned,1849,600
Milwaukee 48-22-9310  Drilling Hammer 3Lb Fiberglass,True,0,Brand New,1897,999
16 oz. Brass Hammer with Fiberglass Handle 1 lb.Brass Hammer,False,0,Brand New,2360,0
"Estwing Hard Face Sledge Hammer, Hickory Wood Handle ESH-W",True,,Brand New,3699,0
New Craftsman 12oz Plastic Face Tip Hammer 38292 USA,False,37,Brand New,2850,0
New ListingMATCO TOOLS DB45 32 OZ. DEAD BLOW STEEL FACE BALL-PEEN HAMMER,False,,Pre-Owned,3599,1479
Geological Stratigraphic Hammer Rock Pick Prospecting Steel Tools,False,0,Brand New,1956,199
New ListingVaughan Grayvik CF2 19 oz Milled Face California Framing Rip Claw Hammer,False,,Brand New,2175,750
New ListingMac Tools BHF24 24 Oz Ball Pein Peen Hammer New Unused,True,,Brand New,3999,0
KC Professional 96624 24 oz. Brick Hammer,True,,Brand New,1799,0
New ListingVintage Plumb 24 oz. Bell Faced Drop Claw Hammer INV15253,False,,Pre-Owned,2700,2115
16OZ Copper Head Hammer Brass Ball Stubby Hammer Nonslip Non-Sparking Anti-Shock,True,,Brand New,1619,0
13 Inch Cross Pein Hammer - PH-00435,False,118,Brand New,950,0
"Vaughan Sf6 Soft Face Hammer,6 Oz.,10-1/2"" L",True,140,Brand New,1399,500
"10"" Carpenter Wood Wooden Mallet Hammer Handle Woodworking Hand Tool",False,,Brand New,1199,0
45 oz. Dead-Blow Hammer,True,0,Brand New,2699,0
Klutch Dead Blow Hammer - 37-Oz.,False,,Brand New,1999,799
DEWALT 8 lbs. Exo-Core Sledge Hammer DWHT56028 New,True,0,Brand New,4801,
